smiles,aureus_logMIC,subtilis_logMIC
NC1=NC(OCC2=CN(N=N2)C3=NN(C4=NC(C(F)(F)F)=CC=C34)CC)=CC(C(F)(F)F)=N1,2.397940009,2.397940009
O=C1SC2=CC(Br)=CC=C2N1CC3=CN(C4=CC=CC=C4C)N=N3,2.301029996,
FC1=CC=CC=C1CN2N=NC(CN3C4=C(C=CC=C4)SC5=CC=CC=C35)=C2,1.096910013,
O=C(NCCNC(N)=[NH2+])C1=CN(C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)N=N1,0.903089987,1.204119983
NC1=NC(OCC2=CN(N=N2)C3=NN(C4=NC(C(F)(F)F)=CC=C34)CCC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(F)F)F)F)F)F)F)F)F)=CC(C(F)(F)F)=N1,2.397940009,2.397940009
CCC1=CC=C(OCC2=CN(CC(N3CCN(C4=CC=CC=C4)CC3)=O)N=N2)C=C1,1.698883137,1.397766256
O=[N+](C1=CC=C(N2CCN(C(CN3N=NC(COC4=CC=CC=C4)=C3)=O)CC2)C=C1)[O-],1.694868328,1.694868328
[H]C1=C(OC)C(OC)=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,1.397940009,
ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(CC(C4=CC=C(F)C=C4)=O)N=N3)=O,0.795880017,0.204119983
CC(NC1=CC=CC(OCC2=CN(CC3=CC=CC=C3F)N=N2)=C1)=O,2.999748036,
ClC1=C2N=C(NN3C(C4=CC=CN=C4)=NN=C3C5=CC=C(Cl)C=C5)SC2=CC=C1,2.301029996,
CC1=NC=C([N+](=O)[O-])N1CCSC1=NN=C(C2=CN=CC=C2)N1C1=C2C=CC=CC2=CC=C1,2.397940009,0.886490725
[H]C1=CC([H])=C(Cl)C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,1.397940009,
[H]C1=CC=C(C=C1[N+]([O-])=O)CN2C=C(N=N2)COC3=CC4=C(C(C)=C3)C=CC(O4)=O,0.903089987,1.204119983
FC1=CC=C(C=C1)CC2=C(CO/N=C/C3=CC=C4N(C)C5=C(C=CC=C5)SC4=C3)N=NN2,1.096910013,
[H]C1=CC=C(C=C1[H])CN2C=C(N=N2)COC3=CC4=C(C(C)=C3)C=CC(O4)=O,0.903089987,0.602059991
C/C(C1=CN(C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)N=N1)=N\NC(N)=[NH2+],0.602059991,0.602059991
O=C1N(C2=CC=CC(OCC3=CN(C4=CC(OC)=C(OC)C(OC)=C4)N=N3)=C2)C(C)=NC5=C1C=CC=C5,1.806179974,
CN1C2=C(C=CC=C2)SC3=CC(COCC4=CN(CC5=CC=C(F)C=C5)N=N4)=CC=C13,1.397940009,
CC(NC1=CC=CC(OCC2=CN(CC3=CC=CC(F)=C3)N=N2)=C1)=O,2.999748036,
O=C(OC)C1=CC(C2=C1C=CC=C2)CCCC(N3/N=C/C4=CC=CC=C4Cl)=NN=C3C5=CC=CC6=CC=CC=C65,0.903089987,
FC(C=C(N1N=NC(COC2=CC=CC=C2F)=C1)C=C3)=C3N4CCOCC4,1.096910013,0.494154594
O=C(/C(S1)=C\C(C2=CC=CC=C23)=CN3CC4=CN(N=N4)C5=C(F)C=C(F)C(F)=C5)NC1=O,1.647969458,
FC(C=C(N1N=NC(CSC2=NC(C=CC=C3)=C3S2)=C1)C=C4)=C4N5CCOCC5,1.698970004,1.397940009
SC1=NN=C(N1/N=C/C2=CC(OC)=C(OC)C(OC)=C2)C3=NC=CN=C3,1.096910013,0.795880017
O=C(CNN1C(=O)CS[C@H]1C1=CC=C(F)C=C1)NN1C(C2=CC=C(Cl)C=C2)=NN[C@@H]1S,0.795880017,0.795880017
CC(C(CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O1)=C1C(C)=C2C)=C2OCC3=CN(N=N3)C4=C(C=CC=C5)C5=CC=C4,2.397940009,
O=C1SC2=CC(Br)=CC=C2N1CC3=CN(C4=CC=CC([N+]([O-])=O)=C4)N=N3,2.0,2.0
O=[N+](C1=CC=C(N2CCN(C(CN3N=NC(COC4=CC=C(F)C=C4)=C3)=O)CC2)C=C1)[O-],1.368844507,1.669874502
CC1=CC=C(C=C1)CN2N=NC(CN3C4=C(C=CC=C4)SC5=CC=CC=C35)=C2,1.698970004,
O=C1SC2=CC(Br)=CC=C2N1CC3=CN(C4=CC=C(OC)C=C4)N=N3,2.301029996,2.301029996
OC1=C(/N=N/C2=CC=C(OCC3=CN(C4=CC=CC=C4)N=N3)C=C2)C=C(OCO5)C5=C1,1.806179974,1.505149978
S=C1N(CN2CCCC2)N=C(C2=CC=CN=C2)N1C1=CC=CC=C1,2.698970004,2.698970004
O=C(/C(S1)=C\C(C2=CC=CC=C23)=CN3CC4=CN(N=N4)C5=CC=C(F)C=C5)NC1=O,1.678336247,
CC(NC1=CC=CC(OCC2=CN(CC3=CC=C(Cl)C(Cl)=C3)N=N2)=C1)=O,2.9989695,
O=C(/C(S1)=C\C(C2=CC=CC=C23)=CN3CC4=CN(N=N4)C5=C([N+]([O-])=O)C=CC=C5)NC1=O,1.956744545,
SC1=NN=C(C2=CC=C(N=CC3=CC=CS3)C=C2)N1N=CC4=CC=CS4,2.397940009,2.301029996
CN(C(/C=C\C)=CSC1=C2)C1=CC=C2/C=N/OC3=C(NN=N3)CC4=CC=CC=C4F,1.096910013,
COC1=CC(O)=C(C(OC)=C1)C(/C=C/C2=CC=C(C(OCC3=CN(N=N3)C4=CC=C(C=C4Cl)F)=C2)OC)=O,2.0,2.0
[H]C1=C(OC)C(OC)=C(OC)C=C1/C=N\N1C(S)=NN=C1CCCCCCCCCCCCCCC,1.096910013,
N#CC1=CC=C(C=C1)/C=C/C(N2C3=CC=CC(OC4=CN(N=N4)C5=CC=CC(C)=C5)=C3)=NC6=C(C2=O)C=CC=C6,-0.301029996,
[H]C1=CC=C2C(N(CC3NNN(C4=CC=C(C#N)C=C4)C3)C(C=CC(/C=N/NC(C5=CC=NC=N5)=O)=C6)=C6S2)=C1,1.698970004,
O=C1C=C(CN2N=NC(C3=CC=C(CCCC)C=C3)=C2)C4=C(O1)C=C(O)C=C4,2.408239965,1.806179974
O=C1C=C(NCC2=CN(C3=CC=CC([N+]([O-])=O)=C3)N=N2)C4=C(O1)C=CC=C4,2.0,1.698970004
COC1=CC(OC)=C(C(=O)/C=C/C2=CC=C(OCC3=CN(C4=CC=C(F)C(Cl)=C4)N=N3)C(OC)=C2)C(O)=C1,2.0,1.698970004
CC1=CC=C(N2CCN(C(CN3N=NC(COC4=CC=C(CC)C=C4)=C3)=O)CC2)C=C1,1.689042339,1.386677284
[H]C1=CC(/C=N/N2C(=S)N([H])N=C2CC2=C(C)N([H])C3=CC=C(F)C=C32)=C([H])C([H])=C1OC,2.397940009,2.096910013
CC1=CC=C(OCC2=CN(CC(N3CCN(C4=CC=C(C)C=C4)CC3)=O)N=N2)C=C1,1.698883137,
