,Smile格式,化合物结构,阳性菌 MIC (μg/mL),,,,,阴性菌 MIC (μg/mL),,,,,细胞毒性 IC50,,,,溶血 HC10   ,EC50,CC50,期刊名、卷、页码,其他数据如：MBC,文献原始数据截图,备注,,,,,,,,,,
1190,,,S.aureus,,,,,E.Coli,,,,,,,,,,EC50,,Bioorganic & Medicinal Chemistry 25 (2017) 5380–5395,,,,,,,,,,,,,
,[NH3+]CCNC(C1=CN(C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)N=N1)=O,,16,,,,,16,,,,,,,,,,8,,,,,,,,,,,,,,,
,[NH3+]CCNC(C(N=N1)=CN1C2=CC=C(OCCCCCCC)C=C2)=O,,4,,,,,-,,,,,,,,,,3.5,,,,,,,,,,,,,,,
,[NH3+]CCNC(C(N=N1)=CN1C2=CC=C(C=C2)OCC3=CC(C(C)(C)C)=CC(C(C)(C)C)=C3)=O,,-,,,,,-,,,,,,,,,,2.9,,,,,,,,,,,,,,,
,NC(NCCNC(C(N=N1)=CN1C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)=O)=[NH2+],,8,,,,,16,,,,,,,,,,31.3,,,,,,,,,,,,,,,
,NC(NCCNC(C(N=N1)=CN1C2=CC=C(OCCCCCCC)C=C2)=O)=[NH2+],,4,,,,,8,,,,,,,,,,23.8,,,,,,,,,,,,,,,
,NC(NCCNC(C(N=N1)=CN1C2=CC=C(C=C2)OCC3=CC(C(C)(C)C)=CC(C(C)(C)C)=C3)=O)=[NH2+],,8,,,,,-,,,,,,,,,,16.2,,,,,,,,,,,,,,,
,C/C(C(N=N1)=CN1CC2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)=N/NC(N)=[NH2+],,4,,,,,8,,,,,,,,,,2.3,,,,,,,,,,,,,,,
,C/C(C(N=N1)=CN1C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)=N\NC(N)=[NH2+],,4,,,,,4,,,,,,,,,,2.6,,,,,,,,,,,,,,,
,C/C(C(N=N1)=CN1C2=CC=C(OCCCCCCC)C=C2)=N\NC(N)=[NH2+],,-,,,,,16,,,,,,,,,,2,,,,,,,,,,,,,,,
,C/C(C(N=N1)=CN1C2=CC=C(C=C2)OCC3=CC(C(C)(C)C)=CC(C(C)(C)C)=C3)=N\NC(N)=[NH2+],,-,,,,,-,,,,,,,,,,1.9,,,,,,,,,,,,,,,
1195,,,S.aureus,B.Subtilis,,,,E.coli,P.vulgaris,,,,MCF-7 (IC50),HeLa  (IC50),,,,,,"JournalofSaudiChemicalSociety(2017)21,795–802",,,,,,,,,,,,,
,,"3a, Ar=甲氧基苯基",37.5,>150,,,,75,9.37,,,,52.33,55.99,,,,,,,,,,,,,,,,,,,
,,"3b, Ar=1-萘醇",>150,4.687,,,,2.343,>150,,,,14.2,20.21,,,,,,,,,,,,,,,,,,,
