SMILES,Structure,Species,MIC
[NH3+]CCNC(C1=CN(C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)N=N1)=O,,S.aureus,16
[NH3+]CCNC(C(N=N1)=CN1C2=CC=C(OCCCCCCC)C=C2)=O,,S.aureus,4
NC(NCCNC(C(N=N1)=CN1C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)=O)=[NH2+],,S.aureus,8
NC(NCCNC(C(N=N1)=CN1C2=CC=C(OCCCCCCC)C=C2)=O)=[NH2+],,S.aureus,4
NC(NCCNC(C(N=N1)=CN1C2=CC=C(C=C2)OCC3=CC(C(C)(C)C)=CC(C(C)(C)C)=C3)=O)=[NH2+],,S.aureus,8
C/C(C(N=N1)=CN1CC2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)=N/NC(N)=[NH2+],,S.aureus,4
C/C(C(N=N1)=CN1C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)=N\NC(N)=[NH2+],,S.aureus,4
O=C(N(C1=C2C=CC=C1)CC3=CN(N=N3)C4=CC=CC=C4)OC2=O,"4a, C₆H₅",S.aureus,80
O=C(N(C1=C2C=CC=C1)CC3=CN(N=N3)C4=CC=C(C)C=C4)OC2=O,"4b, 4-MeC₆H₄",S.aureus,76.82
O=C(OC1=O)N(CC2=CN(C3=CC=C(C=C3)OC)N=N2)C4=C1C=CC=C4,"4c, 4-OMeC₆H₄",S.aureus,301
O=C(OC1=O)N(CC2=CN(C3=C(Cl)C=CC=C3)N=N2)C4=C1C=CC=C4,"4d, 2-CIC₆H₄",S.aureus,74.865
O=C(N(C1=C2C=CC=C1)CC3=CN(N=N3)C4=CC(Cl)=CC=C4)OC2=O,"4e, 3-CIC₆H₄",S.aureus,149.73
O=C(N(C1=C2C=CC=C1)CC3=CN(N=N3)C4=CC(Cl)=C(Cl)C=C4Cl)OC2=O,"4f, 2,4,5-Cl₃C₆H₄",S.aureus,124.555
O=C(OC1=O)N(CC2=CN(C3=CC=C(C(Cl)=C3)Cl)N=N2)C4=C1C=CC=C4,"4g, 3,4-Cl₂C₆H₄",S.aureus,137.55
O=C(N(C1=C2C=CC=C1)CC3=CN(N=N3)C4=CC=CC([N+]([O-])=O)=C4)OC2=O,"4h, 3-NO₂C₆H₄",S.aureus,146
O=C(OC1=O)N(CC2=CN(C3=CC=C([N+]([O-])=O)C=C3)N=N2)C4=C1C=CC=C4,"4i, 4-NO₂C₆H₄",S.aureus,146
O=C(NC1=O)C2=C(C=CC=C2)N1CC3=CN=NN3C4=CC=CC=C4,"5a, C₆Hs",S.aureus,163.2
O=C(N(C1=C2C=CC=C1)CC3=CN=NN3C4=CC=C(C)C=C4)NC2=O,"5b, 4-MeC₆H₄",S.aureus,156.98
O=C(NC1=O)N(CC2=CN(C3=CC=C(C=C3)OC)N=N2)C4=C1C=CC=C4,"5c, 4-OMeC₆H₄",S.aureus,150.5
O=C(N(C1=C2C=CC=C1)CC3=CN(N=N3)C4=C(C=CC=C4)Cl)NC2=O,"5d, 2-CIC₆H₄",S.aureus,149.73
O=C(N(C1=C2C=CC=C1)CC3=CN(N=N3)C4=CC(Cl)=CC=C4)NC2=O,"5e, 3-CIC₆H₄",S.aureus,149.73
O=C(N(C1=C2C=CC=C1)CC3=CN(N=N3)C4=CC(Cl)=C(Cl)C=C4Cl)NC2=O,"5f, 2,4,5-Cl₃C₆H₄",S.aureus,249.11
O=C(N(C1=C2C=CC=C1)CC3=CN(N=N3)C4=CC=C(Cl)C=C4)NC2=O,"5j, 4-CIC₆H₄",S.aureus,181.23
CC(NC1=CC=CC(OCC2=CN(CC3=CC=CC=C3)N=N2)=C1)=O,7a -C₆H₅(苯基),S.aureus,50
CC(NC1=CC=CC(OCC2=CN(CC3=CC=CC=C3F)N=N2)=C1)=O,7b -C₆H₄-2-F (邻氟苯基),S.aureus,999.42
CC(NC1=CC=CC(OCC2=CN(CC3=CC=CC(F)=C3)N=N2)=C1)=O,7c -C₆H₄-3-F (间氟苯基),S.aureus,999.42
CC(NC1=CC=CC(OCC2=CN(CC3=CC=C(F)C=C3)N=N2)=C1)=O,7d -C₆H₄-4-F (对氟苯基),S.aureus,999.42
CC(NC1=CC=CC(OCC2=CN(CC3=CC=C(Cl)C=C3Cl)N=N2)=C1)=O,"7h -C₆H₃ - 2,4 - Cl₂（2,4 - 二氯苯基）",S.aureus,997.63
CC(NC1=CC=CC(OCC2=CN(CC3=CC=C(Cl)C(Cl)=C3)N=N2)=C1)=O,"7i -C₆H₃ - 3,4 - Cl₂（3,4 - 二氯苯基）",S.aureus,997.63
CCOC1=CC=C2N3C(SC2=C1)=NC(C4=CC=CC=C4)=C3CO(C5=CN(CC6=CC=CC(F)=C6)N=N5)C,5n，R1=-OEt，R2=H，R3=F，R4=H,S.aureus,128
O=P(O)(C[C@H](C(OCC)=O)OCC1=CN(CCCCCCCCCCCC)N=N1)OCCCNCC(C=C2)=CC=C2C3=CC=CC=C3,,S.aureus,4.221
O=C(OCC)[C@H](OCC1=CN(CCCCCCCCCCCC)N=N1)CP(OCCCNCC2=CC=C3C=CC=CC3=C2)(O)=O,,S.aureus,4.0572
O=P(O)(C[C@H](C(OCC)=O)OCC1=CN(CCCCCCCCCCCC)N=N1)OCCCN(C)CC(C=C2)=CC=C2C3=CC=CC=C3,8，R=Et，Y=Me,S.aureus,4.3092
O=P(O)(C[C@H](C(OCC)=O)OCC1=CN(CCCCCCCCCCCC)N=N1)OCCCN(CC2=CC=C(C3=CC=CC=C3)C=C2)CC(C=C4)=CC=C4C5=CC=CC=C5,9，R=Et，Y=BiPh-4-CH2,S.aureus,374.8
O=P(O)(C[C@H](C(OCC)=O)OCC1=CN(CCCCCCCCCCCC)N=N1)OCCCNCC(C=C2)=CC=C2C3=CC=CC=C3,,S.aureus,4.0572
O=C(OCC1=CN(CC2=CC=CC=C2)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,,S.aureus,99.89712
O=C(OCC1=CN(CC2=CC=CC=C2F)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,,S.aureus,499.51085
O=C(OCC1=CN(CC2=CC=CC(F)=C2)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,,S.aureus,499.51085
CC1=CC=C2OC=C(/C=C/C(=O)OCC3=CN(C4=CC=C(F)C=C4)N=N3)C(=O)C2=C1,,S.aureus,499.51085
O=C(OCC1=CN(CC2=CC=CC(Cl)=C2)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,,S.aureus,99.916765
O=C(OCC1=CN(CC2=CC=C(Cl)C=C2)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,,S.aureus,99.916765
O=C(OCC1=CN(CC2=CC=CC=C2C)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,,S.aureus,998.9382
O=C(OCC1=CN(CC2=CC=CC(C)=C2)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,,S.aureus,499.4691
O=C(OCC1=CN(CC2=CC=C(C)C=C2)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,,S.aureus,499.4691
O=C(OCC1=CN(CC2=CC=C(Cl)C=C2Cl)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,,S.aureus,49.9657
ClC1=NC2=CC=C(OC)C=C2C=C1COCC3=CN(CC(C4=CC=C(F)C=C4)=O)N=N3,,S.aureus,12.5
ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(CC(C4=CC=C(OC)C=C4)=O)N=N3)=O,,S.aureus,6.25
ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(CC(C4=CC=C(F)C=C4)=O)N=N3)=O,,S.aureus,6.25
ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(CC(C4=CC=C([N+]([O-])=O)C=C4)=O)N=N3)=O,,S.aureus,6.25
ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(CC(C4=CC=CC=C4)=O)N=N3)=O,,S.aureus,12.5
ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(C4=CC=C(OC)C=C4)N=N3)=O,,S.aureus,6.25
ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(C4=CC=CC=C4)N=N3)=O,,S.aureus,6.25
ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(C4=CC=C(C#N)C=C4)N=N3)=O,,S.aureus,6.25
C1(C2=CN(CC3=CN(C4=CC=CC=C4)N=N3)C5=C2C=CC=C5)=NC6=CC=CC=C6N1,4a Ar=phenyl（苯基）,S.aureus,25
ClC1=CC=CC=C1N2N=NC(CN3C=C(C4=NC5=CC=CC=C5N4)C6=C3C=CC=C6)=C2,4b Ar=2 - chlorophenyl（2 - 氯苯基）,S.aureus,6.25
ClC1=CC=C(N2N=NC(CN3C=C(C4=NC5=CC=CC=C5N4)C6=C3C=CC=C6)=C2)C=C1,4c Ar=4 - chlorophenyl（4 - 氯苯基）,S.aureus,3.125
CC1=CC(N2N=NC(CN3C=C(C4=NC5=CC=CC=C5N4)C6=C3C=CC=C6)=C2)=CC=C1,4d Ar=3 - methylphenyl（3 - 甲基苯基）,S.aureus,25
CC1=CC=C(N2N=NC(CN3C=C(C4=NC5=CC=CC=C5N4)C6=C3C=CC=C6)=C2)C=C1,4e Ar=4 - methylphenyl（4 - 甲基苯基）,S.aureus,50
COC1=CC=CC=C1N2N=NC(CN3C=C(C4=NC5=CC=CC=C5N4)C6=C3C=CC=C6)=C2,4f Ar=2 - methoxyphenyl（2 - 甲氧基苯基）,S.aureus,50
COC1=CC=C(N2N=NC(CN3C=C(C4=NC5=CC=CC=C5N4)C6=C3C=CC=C6)=C2)C=C1,4g Ar=4 - methoxyphenyl（4 - 甲氧基苯基）,S.aureus,12.5
O=[N+](C1=CC=CC=C1N2N=NC(CN3C=C(C4=NC5=CC=CC=C5N4)C6=C3C=CC=C6)=C2)[O-],4h Ar=2 - nitrophenyl（2 - 硝基苯基）,S.aureus,3.125
FC(C1=CC(N2N=NC(CN3C=C(C4=NC5=CC=CC=C5N4)C6=C3C=CC=C6)=C2)=CC=C1)(F)F,4i Ar=3 - (trifluoromethyl) phenyl（3 - 三氟甲基苯基）,S.aureus,25
C1(C2=CN(CC3=CN(CC4=CC=CC=C4)N=N3)C5=C2C=CC=C5)=NC6=CC=CC=C6N1,4j Ar=benzyl（苄基）,S.aureus,12.5
O=C1C2=CC=CC3=CC=CC(=C32)C(=O)N1CCCN1C=C(CSC(=S)N(N2CCCC2)N2CCCC2)N=N1,5a：NR1R2 = pyrrolidinyl,S.aureus,63.705
O=C1C2=CC=CC3=CC=CC(=C32)C(=O)N1CCCN1C=C(CSC(=S)N(N2CCCCC2)N2CCCCC2)N=N1,5b：NR1R2 = piperidinyl,S.aureus,63.707
CN1CCN(N(C(=S)SCC2=CN(CCCN3C(=O)C4=CC=CC5=CC=CC(=C54)C3=O)N=N2)N2CCN(C)CC2)CC1,5d：NR1R2 = 4-methylpiperazin-1-yl,S.aureus,127.946
CN(C)CCN1C(=O)C2=CC=CC3=C(N4C=C(CSC(=S)N(N5CCCC5)N5CCCC5)N=N4)C=CC(=C23)C1=O,7a：NR1R2 = pyrrolidinyl,S.aureus,31.9124
CN(C)CCN1C(=O)C2=CC=CC3=C(N4C=C(CSC(=S)N(C5CCCCC5)N5CCCCC5)N=N4)C=CC(=C23)C1=O,7b：NR1R2 = piperidinyl,S.aureus,16.002
CN(C)CCN1C(=O)C2=CC=C(N3C=C(CSC(=S)N(C4CCOCC4)N4CCOCC4)N=N3)C3=CC=CC(=C23)C1=O,7c：NR1R2 = morpholinyl,S.aureus,15.963
CN(C)CCN1C(=O)C2=CC=CC3=C(N4C=C(CSC(=S)N(C5CCN(C)CC5)N5CCN(C)CC5)N=N4)C=CC(=C23)C1=O,7d：NR1R2 = 4-methylpiperazin-1-yl,S.aureus,63.928
S=C1NN=C(C2=CC=CS2)N1C3=CC=C(F)C=C3,5a X=H，Y=4-F，R=None,S.aureus,4
S=C1NN=C(C2=CC=C(Br)S2)N1C3=CC=C(Br)C=C3,5e X=Br，Y=4-Br，R=None,S.aureus,3.2
S=C1N(CN2CCOCC2)N=C(C3=CC=CS3)N1C4=CC=C(F)C=C4,6b X=H，Y=O，R=None,S.aureus,3.8
S=C1N(CN2CCSCC2)N=C(C3=CC=CS3)N1C4=CC=C(F)C=C4,6c X=H，Y=S，R=None,S.aureus,5
S=C1N(CN2CCOCC2)N=C(C3=CC=CS3)N1C4=CC=C(F)C=C4Br,6d X=Br，Y=O，R=None,S.aureus,2
S=C1N(CN2CCSCC2)N=C(C3=CC=CS3)N1C4=CC=C(F)C=C4Br,6e X=Br，Y=S，R=None,S.aureus,4.8
S=C1N(CN2CCN(C)CC2)N=C(C3=CC=CS3)N1C4=CC=C(F)C=C4,7a X=H，Y=None，R=CH₃,S.aureus,3.2
FC1=CC(Br)=C(N2C(N(CN3CCN(C4=CC=CC=C4OC)CC3)N=C2C5=CC=CS5)=S)C=C1,7d X=Br，Y=None，R=2-CH₃OC₆H₄,S.aureus,2.1
S=C1N(CN2CC3=C(C=CC=C3)CC2)N=C(C4=CC=CS4)N1C5=CC=C(F)C=C5,9 X=None，Y=None，R=None,S.aureus,18
S=C1N(N)C(C2=CC=CC=C2)=NN1,,S.aureus,4302
S=C1N(/N=C/C2=CC=CC=C2)C(C3=CC=CC=C3)=NN1,,S.aureus,2176
C[o]C1=CC=C(/C=N/N(C(C2=CC=CC=C2)=NN3)C3=S)C=C1,,S.aureus,1389
O=[N+]([O-])C1=CC=C(/C=N/N2C(=S)NN=C2C2=CC=CC=C2)C=C1,,S.aureus,977
S=C1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=CO3,,S.aureus,1757
S=C1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=C[s]3,,S.aureus,1425
C#CCSC1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=CC=C3,,S.aureus,1555
C#CCSC1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=C(OC)C=C3,,S.aureus,1039
C#CCSC1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=C([N+]([O-])=O)C=C3,,S.aureus,848
C#CCSC1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=CO3,,S.aureus,1518
C#CCSC1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=C[s]3,,S.aureus,1279
O=[N+](C(C=C1)=CC=C1N2N=NC(CSC3N(C(C4=CC=CC=C4)=NN3)/N=C/C5=CC=CC=C5)=C2)[O-],,S.aureus,539
