,smiles,化合物结构,化合物结构,阳性菌 MIC (μg/mL),,,,,阴性菌 MIC (μg/mL),,,,细胞毒性,期刊名、卷、页码,文献原始数据截图,备注,,
1190,,,,S.aureus,,,,,E.Coli,,,,,Bioorganic & Medicinal Chemistry 25 (2017) 5380–5395,,,,
,[NH3+]CCNC(C1=CN(C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)N=N1)=O,[NH3+]CCNC(C1=CN(C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)N=N1)=O,,16,,,,,16,,,,高毒,,,,,
,[NH3+]CCNC(C(N=N1)=CN1C2=CC=C(OCCCCCCC)C=C2)=O,[NH3+]CCNC(C(N=N1)=CN1C2=CC=C(OCCCCCCC)C=C2)=O,,4,,,,,-,,,,高毒,,,,,
,[NH3+]CCNC(C(N=N1)=CN1C2=CC=C(C=C2)OCC3=CC(C(C)(C)C)=CC(C(C)(C)C)=C3)=O,[NH3+]CCNC(C(N=N1)=CN1C2=CC=C(C=C2)OCC3=CC(C(C)(C)C)=CC(C(C)(C)C)=C3)=O,,-,,,,,-,,,,高毒,,,,,
,NC(NCCNC(C(N=N1)=CN1C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)=O)=[NH2+],NC(NCCNC(C(N=N1)=CN1C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)=O)=[NH2+],,8,,,,,16,,,,中毒,,,,,
,NC(NCCNC(C(N=N1)=CN1C2=CC=C(OCCCCCCC)C=C2)=O)=[NH2+],NC(NCCNC(C(N=N1)=CN1C2=CC=C(OCCCCCCC)C=C2)=O)=[NH2+],,4,,,,,8,,,,中毒,,,,,
,NC(NCCNC(C(N=N1)=CN1C2=CC=C(C=C2)OCC3=CC(C(C)(C)C)=CC(C(C)(C)C)=C3)=O)=[NH2+],NC(NCCNC(C(N=N1)=CN1C2=CC=C(C=C2)OCC3=CC(C(C)(C)C)=CC(C(C)(C)C)=C3)=O)=[NH2+],,8,,,,,-,,,,中毒,,,,,
,C/C(C(N=N1)=CN1CC2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)=N/NC(N)=[NH2+],C/C(C(N=N1)=CN1CC2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)=N/NC(N)=[NH2+],,4,,,,,8,,,,高毒,,,,,
,C/C(C(N=N1)=CN1C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)=N\NC(N)=[NH2+],C/C(C(N=N1)=CN1C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)=N\NC(N)=[NH2+],,4,,,,,4,,,,高毒,,,,,
,C/C(C(N=N1)=CN1C2=CC=C(OCCCCCCC)C=C2)=N\NC(N)=[NH2+],C/C(C(N=N1)=CN1C2=CC=C(OCCCCCCC)C=C2)=N\NC(N)=[NH2+],,-,,,,,16,,,,高毒,,,,,
,C/C(C(N=N1)=CN1C2=CC=C(C=C2)OCC3=CC(C(C)(C)C)=CC(C(C)(C)C)=C3)=N\NC(N)=[NH2+],C/C(C(N=N1)=CN1C2=CC=C(C=C2)OCC3=CC(C(C)(C)C)=CC(C(C)(C)C)=C3)=N\NC(N)=[NH2+],,-,,,,,-,,,,高毒,,,,,
1195,,,,S.aureus,B.Subtilis,,,,E.coli,P.vulgaris,,,,"JournalofSaudiChemicalSociety(2017)21,795–802",,,,
,,,"3a, Ar=甲氧基苯基",37.5,>150,,,,75,9.37,,,中毒,,,,,
,,,"3b, Ar=1-萘醇",>150,4.687,,,,2.343,>150,,,中毒,,,,,
,,,"3c, Ar=2-氯-5-硝基苯",9.37,18.75,,,,>150,>150,,,中毒,,,,,
,,,"3d, Ar=2-羟基甲基-5-氟苯",>150,>150,,,,>150,4.687,,,中毒,,,,,
,,,"3e, Ar=3-硝基苯",>150,>150,,,,>150,>150,,,低毒,,,,,
,,,"3f, Ar=4-氯苯基",75,>150,,,,37.5,>150,,,中毒,,,,,
,,,"3g, Ar=4-甲基苯基",>150,>150,,,,>150,>150,,,低毒,,,,,
,,,"3h, Ar=4-硝基苯",>150,>150,,,,>150,>150,,,低毒,,,,,
,,,"3i, Ar=2-甲基苯基",75,>150,,,,37.5,>150,,,中毒,,,,,
,,,"3j, Ar=苯基",>150,37.5,,,,>150,75,,,低毒,,,,,
,,,"3k, Ar=3-氯苯基",2.343,>150,,,,>150,>150,,,中毒,,,,,
,,,"3l, Ar=3,5-二氯苯基",4.687,2.343,,,,>150,>150,,,中毒,,,,,
,,,"3m, Ar=4-溴苯基",>150,>150,,,,>150,>150,,,中毒,,,,,
,,,"3n, Ar=2,6-二溴-4-氟苯基",>150,2.343,,,,1.171,>150,,,高毒,,,,,
1198,,,,"S.aureus ATCC
25923","M.huteus NCIMB
8166",,,,"E.coli ATCC
25922","P.aeruginosa   ATCC
27853",,,,"Arabian Journal of Chemistry (2022) 15, 104226",,,,
,O=C(N(C1=C2C=CC=C1)CC3=CN(N=N3)C4=CC=CC=C4)OC2=O,O=C(N(C1=C2C=CC=C1)CC3=CN(N=N3)C4=CC=CC=C4)OC2=O,"4a, C₆H₅",80,163.2,,,,163.2,163.2,,,高毒,,,,,
,O=C(N(C1=C2C=CC=C1)CC3=CN(N=N3)C4=CC=C(C)C=C4)OC2=O,O=C(N(C1=C2C=CC=C1)CC3=CN(N=N3)C4=CC=C(C)C=C4)OC2=O,"4b, 4-MeC₆H₄",76.82,156.98,,,,156.98,156.98,,,高毒,,,,,
