smiles,aureus_MIC,aureus_logMIC,n,pos
[NH3+]CCNC(C1=CN(C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)N=N1)=O,16.0,1.2041199826559248,10,8
[NH3+]CCNC(C(N=N1)=CN1C2=CC=C(OCCCCCCC)C=C2)=O,4.0,0.6020599913279624,10,8
NC(NCCNC(C(N=N1)=CN1C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)=O)=[NH2+],8.0,0.9030899869919435,10,8
NC(NCCNC(C(N=N1)=CN1C2=CC=C(OCCCCCCC)C=C2)=O)=[NH2+],4.0,0.6020599913279624,10,8
NC(NCCNC(C(N=N1)=CN1C2=CC=C(C=C2)OCC3=CC(C(C)(C)C)=CC(C(C)(C)C)=C3)=O)=[NH2+],8.0,0.9030899869919435,2,2
C/C(C(N=N1)=CN1CC2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)=N/NC(N)=[NH2+],4.0,0.6020599913279624,2,2
C/C(C(N=N1)=CN1C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)=N\NC(N)=[NH2+],4.0,0.6020599913279624,10,8
O=P(O)(C[C@H](C(OCC)=O)OCC1=CN(CCCCCCCCCCCC)N=N1)OCCCNCC(C=C2)=CC=C2C3=CC=CC=C3,4.221,0.6254153521544081,2,2
O=C(OCC)[C@H](OCC1=CN(CCCCCCCCCCCC)N=N1)CP(OCCCNCC2=CC=C3C=CC=CC3=C2)(O)=O,4.0572,0.6082264168133938,1,1
O=P(O)(C[C@H](C(OCC)=O)OCC1=CN(CCCCCCCCCCCC)N=N1)OCCCN(C)CC(C=C2)=CC=C2C3=CC=CC=C3,4.3092,0.6343966511736979,2,2
O=P(O)(C[C@H](C(OCC)=O)OCC1=CN(CCCCCCCCCCCC)N=N1)OCCCN(CC2=CC=C(C3=CC=CC=C3)C=C2)CC(C=C4)=CC=C4C5=CC=CC=C5,374.8,2.5737995822157407,1,0
O=C(OCC1=CN(CC2=CC=CC=C2)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,99.89712,1.9995529678442274,9,0
O=C(OCC1=CN(CC2=CC=CC=C2F)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,499.51085,2.6985449260834264,9,0
O=C(OCC1=CN(CC2=CC=CC(F)=C2)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,499.51085,2.6985449260834264,9,0
CC1=CC=C2OC=C(/C=C/C(=O)OCC3=CN(C4=CC=C(F)C=C4)N=N3)C(=O)C2=C1,499.51085,2.6985449260834264,1,0
O=C(OCC1=CN(CC2=CC=CC(Cl)=C2)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,99.916765,1.999638364463431,9,0
O=C(OCC1=CN(CC2=CC=C(Cl)C=C2)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,99.916765,1.999638364463431,9,0
O=C(OCC1=CN(CC2=CC=CC=C2C)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,998.9382,2.9995386211297026,9,0
O=C(OCC1=CN(CC2=CC=CC(C)=C2)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,499.4691,2.6985086254657213,9,0
O=C(OCC1=CN(CC2=CC=C(C)C=C2)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,499.4691,2.6985086254657213,9,0
O=C(OCC1=CN(CC2=CC=C(Cl)C=C2Cl)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,49.9657,1.6986719760860518,9,0
ClC1=NC2=CC=C(OC)C=C2C=C1COCC3=CN(CC(C4=CC=C(F)C=C4)=O)N=N3,12.5,1.0969100130080565,1,0
ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(CC(C4=CC=C(OC)C=C4)=O)N=N3)=O,6.25,0.7958800173440752,4,3
ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(CC(C4=CC=C(F)C=C4)=O)N=N3)=O,6.25,0.7958800173440752,4,3
ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(CC(C4=CC=C([N+]([O-])=O)C=C4)=O)N=N3)=O,6.25,0.7958800173440752,4,3
ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(CC(C4=CC=CC=C4)=O)N=N3)=O,12.5,1.0969100130080565,4,3
ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(C4=CC=C(OC)C=C4)N=N3)=O,6.25,0.7958800173440752,3,3
ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(C4=CC=CC=C4)N=N3)=O,6.25,0.7958800173440752,3,3
ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(C4=CC=C(C#N)C=C4)N=N3)=O,6.25,0.7958800173440752,3,3
C1(C2=CN(CC3=CN(C4=CC=CC=C4)N=N3)C5=C2C=CC=C5)=NC6=CC=CC=C6N1,25.0,1.3979400086720377,9,3
ClC1=CC=CC=C1N2N=NC(CN3C=C(C4=NC5=CC=CC=C5N4)C6=C3C=CC=C6)=C2,6.25,0.7958800173440752,9,3
ClC1=CC=C(N2N=NC(CN3C=C(C4=NC5=CC=CC=C5N4)C6=C3C=CC=C6)=C2)C=C1,3.125,0.494850021680094,9,3
