smiles,toxicity_label,n,counts_json
[NH3+]CCNC(C1=CN(C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)N=N1)=O,高毒,12,"{""高毒"": 8, ""中毒"": 4}"
[NH3+]CCNC(C(N=N1)=CN1C2=CC=C(OCCCCCCC)C=C2)=O,高毒,12,"{""高毒"": 8, ""中毒"": 4}"
[NH3+]CCNC(C(N=N1)=CN1C2=CC=C(C=C2)OCC3=CC(C(C)(C)C)=CC(C(C)(C)C)=C3)=O,高毒,6,"{""高毒"": 4, ""中毒"": 2}"
NC(NCCNC(C(N=N1)=CN1C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)=O)=[NH2+],中毒,12,"{""高毒"": 8, ""中毒"": 4}"
NC(NCCNC(C(N=N1)=CN1C2=CC=C(OCCCCCCC)C=C2)=O)=[NH2+],中毒,12,"{""高毒"": 8, ""中毒"": 4}"
NC(NCCNC(C(N=N1)=CN1C2=CC=C(C=C2)OCC3=CC(C(C)(C)C)=CC(C(C)(C)C)=C3)=O)=[NH2+],中毒,6,"{""高毒"": 4, ""中毒"": 2}"
C/C(C(N=N1)=CN1CC2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)=N/NC(N)=[NH2+],高毒,2,"{""高毒"": 2}"
C/C(C(N=N1)=CN1C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)=N\NC(N)=[NH2+],高毒,12,"{""高毒"": 8, ""中毒"": 4}"
C/C(C(N=N1)=CN1C2=CC=C(OCCCCCCC)C=C2)=N\NC(N)=[NH2+],高毒,12,"{""高毒"": 8, ""中毒"": 4}"
C/C(C(N=N1)=CN1C2=CC=C(C=C2)OCC3=CC(C(C)(C)C)=CC(C(C)(C)C)=C3)=N\NC(N)=[NH2+],高毒,6,"{""高毒"": 4, ""中毒"": 2}"
O=C(N(C1=C2C=CC=C1)CC3=CN(N=N3)C4=CC=CC=C4)OC2=O,高毒,9,"{""高毒"": 9}"
O=C(N(C1=C2C=CC=C1)CC3=CN(N=N3)C4=CC=C(C)C=C4)OC2=O,高毒,9,"{""高毒"": 9}"
O=C(OC1=O)N(CC2=CN(C3=CC=C(C=C3)OC)N=N2)C4=C1C=CC=C4,高毒,9,"{""高毒"": 9}"
O=C(OC1=O)N(CC2=CN(C3=C(Cl)C=CC=C3)N=N2)C4=C1C=CC=C4,高毒,9,"{""高毒"": 9}"
O=C(N(C1=C2C=CC=C1)CC3=CN(N=N3)C4=CC(Cl)=CC=C4)OC2=O,高毒,9,"{""高毒"": 9}"
