step,mean_reward,valid_rate
1,0.186669,0.921875
2,0.202444,0.945312
3,0.186267,0.945312
4,0.186498,0.960938
5,0.185157,0.960938
6,0.193604,0.976562
7,0.201386,0.984375
8,0.195894,0.968750
9,0.192451,0.968750
10,0.192453,0.921875
11,0.194961,0.968750
12,0.201875,0.968750
13,0.195229,0.976562
14,0.193515,0.960938
15,0.196073,0.960938
16,0.197032,0.968750
17,0.192151,0.921875
18,0.199329,0.968750
19,0.194256,0.953125
20,0.198099,0.968750
21,0.195775,0.960938
22,0.192656,0.960938
23,0.190011,0.953125
24,0.184989,0.914062
25,0.200048,0.960938
26,0.202761,0.929688
27,0.190167,0.929688
28,0.205339,0.953125
29,0.193538,0.929688
30,0.191526,0.953125
31,0.192337,0.914062
32,0.206489,0.960938
33,0.194864,0.945312
34,0.196634,0.945312
35,0.201620,0.976562
36,0.191344,0.937500
37,0.191428,0.968750
38,0.207037,0.937500
39,0.203054,0.953125
40,0.196770,0.968750
41,0.203663,0.953125
42,0.198907,0.953125
43,0.203989,0.968750
44,0.197817,0.976562
45,0.197815,0.937500
46,0.201563,0.937500
47,0.202779,0.968750
48,0.202547,0.929688
49,0.207834,0.976562
50,0.206272,0.960938
51,0.202838,0.960938
52,0.202732,0.914062
53,0.199477,0.937500
54,0.204618,0.953125
55,0.210980,0.921875
56,0.207025,0.968750
57,0.205502,0.929688
58,0.193531,0.937500
59,0.200246,0.945312
60,0.201270,0.960938
61,0.204945,0.914062
62,0.203096,0.929688
63,0.197354,0.921875
64,0.202862,0.945312
65,0.194811,0.984375
66,0.200250,0.992188
67,0.200929,0.914062
68,0.212501,0.960938
69,0.202813,0.945312
70,0.203449,0.937500
71,0.220035,0.890625
72,0.202073,0.929688
73,0.206113,0.921875
74,0.197594,0.914062
75,0.207739,0.929688
76,0.205354,0.953125
77,0.201568,0.937500
78,0.203906,0.953125
79,0.208370,0.921875
80,0.209323,0.921875
81,0.205509,0.929688
82,0.204798,0.937500
83,0.209271,0.914062
84,0.210697,0.937500
85,0.202219,0.921875
86,0.208920,0.953125
87,0.201046,0.953125
88,0.216769,0.960938
89,0.204724,0.945312
90,0.212847,0.953125
91,0.202519,0.906250
92,0.209570,0.921875
93,0.206255,0.945312
94,0.200959,0.968750
95,0.200515,0.953125
96,0.212976,0.953125
97,0.214777,0.929688
98,0.217694,0.937500
99,0.212734,0.976562
100,0.211996,0.921875
101,0.201274,0.945312
102,0.206220,0.968750
103,0.210594,0.968750
104,0.204873,0.921875
105,0.211366,0.898438
106,0.220949,0.937500
107,0.211081,0.898438
108,0.211225,0.929688
109,0.205653,0.914062
110,0.213019,0.929688
111,0.203893,0.937500
112,0.215251,0.898438
113,0.212716,0.937500
114,0.211847,0.937500
115,0.208506,0.945312
116,0.212559,0.960938
117,0.207667,0.953125
118,0.222085,0.914062
119,0.206960,0.921875
120,0.210873,0.921875
121,0.215923,0.937500
122,0.214509,0.921875
123,0.211211,0.937500
124,0.217136,0.921875
125,0.213937,0.914062
126,0.213228,0.921875
127,0.216670,0.937500
128,0.212843,0.953125
129,0.224765,0.906250
130,0.213396,0.898438
131,0.216214,0.945312
132,0.224350,0.898438
133,0.220179,0.914062
134,0.214211,0.937500
135,0.225318,0.968750
136,0.210231,0.898438
137,0.215328,0.914062
138,0.217125,0.960938
139,0.216620,0.937500
140,0.232250,0.882812
141,0.208442,0.875000
142,0.219649,0.945312
143,0.216630,0.906250
144,0.218726,0.914062
145,0.212284,0.945312
146,0.212755,0.945312
147,0.224984,0.953125
148,0.220897,0.953125
149,0.217485,0.953125
150,0.218778,0.921875
151,0.224197,0.906250
152,0.210735,0.875000
153,0.216676,0.921875
154,0.214602,0.914062
155,0.212841,0.937500
156,0.217757,0.914062
157,0.210144,0.867188
158,0.214158,0.929688
159,0.224585,0.929688
160,0.212285,0.898438
161,0.229285,0.929688
162,0.219477,0.945312
163,0.221973,0.914062
164,0.207788,0.929688
165,0.220321,0.851562
166,0.211788,0.937500
167,0.208710,0.890625
168,0.217427,0.945312
169,0.215003,0.921875
170,0.208993,0.921875
171,0.214285,0.898438
172,0.226320,0.921875
173,0.215266,0.937500
174,0.224421,0.937500
175,0.223917,0.906250
176,0.220284,0.906250
177,0.217676,0.921875
178,0.218813,0.937500
179,0.220100,0.937500
180,0.213898,0.906250
181,0.230292,0.945312
182,0.214676,0.929688
183,0.211485,0.929688
184,0.214898,0.906250
185,0.223190,0.937500
186,0.232571,0.921875
187,0.221603,0.937500
188,0.216911,0.906250
189,0.211234,0.898438
190,0.212711,0.882812
191,0.220823,0.921875
192,0.228497,0.890625
193,0.212541,0.921875
194,0.228352,0.945312
195,0.229345,0.882812
196,0.222069,0.929688
197,0.219450,0.906250
198,0.212429,0.937500
199,0.223681,0.914062
200,0.238435,0.914062
201,0.216163,0.914062
202,0.224931,0.914062
203,0.224124,0.875000
204,0.228324,0.914062
205,0.227520,0.890625
206,0.222215,0.906250
207,0.218763,0.921875
208,0.220885,0.945312
209,0.229690,0.968750
210,0.213237,0.921875
211,0.227858,0.921875
212,0.217297,0.914062
213,0.216857,0.929688
214,0.223374,0.890625
215,0.219954,0.859375
216,0.219835,0.929688
217,0.224255,0.921875
218,0.235748,0.898438
219,0.220432,0.898438
220,0.231932,0.921875
221,0.217412,0.898438
222,0.222326,0.914062
223,0.233513,0.929688
224,0.223812,0.968750
225,0.230200,0.914062
226,0.221215,0.945312
