step,mean_reward,valid_rate,triazole_rate
1,0.555769,0.984375,0.984375
2,0.551581,0.960938,0.976562
3,0.553257,0.960938,0.992188
4,0.553798,0.976562,0.992188
5,0.563436,0.968750,0.992188
6,0.557865,0.992188,1.000000
7,0.565039,0.968750,0.992188
8,0.551259,0.976562,0.992188
9,0.556018,0.976562,0.984375
10,0.556250,0.953125,0.984375
11,0.557370,0.976562,0.992188
12,0.553048,0.968750,0.976562
13,0.558018,0.945312,0.984375
14,0.559736,0.968750,0.992188
15,0.555346,0.976562,0.992188
16,0.559476,0.945312,0.968750
17,0.551650,0.984375,0.992188
18,0.560137,0.976562,0.984375
19,0.559280,0.960938,0.976562
20,0.557300,0.976562,0.976562
21,0.561446,0.968750,0.976562
22,0.555269,0.992188,0.984375
23,0.560420,0.984375,1.000000
24,0.559183,0.945312,0.992188
25,0.552559,0.960938,0.984375
26,0.555726,0.953125,1.000000
27,0.555358,0.984375,1.000000
28,0.558888,0.984375,1.000000
29,0.561680,0.992188,1.000000
30,0.553729,0.976562,0.992188
31,0.558248,0.976562,0.984375
32,0.554448,0.968750,0.992188
33,0.554183,0.984375,0.992188
34,0.550505,0.960938,1.000000
35,0.562085,0.976562,0.992188
36,0.552835,1.000000,1.000000
37,0.552562,0.984375,0.992188
38,0.552858,0.929688,0.984375
39,0.563466,0.953125,0.976562
40,0.564008,0.976562,0.984375
41,0.550389,0.976562,0.992188
42,0.558277,0.984375,1.000000
43,0.560103,0.968750,0.960938
44,0.554173,0.968750,0.984375
45,0.554807,0.984375,0.992188
46,0.549957,0.984375,0.984375
47,0.556625,0.976562,0.984375
48,0.546748,0.976562,1.000000
49,0.544650,0.960938,0.968750
50,0.550353,0.953125,0.984375
51,0.550354,0.984375,0.992188
52,0.552761,0.976562,0.984375
53,0.556848,0.984375,0.984375
54,0.556391,0.953125,0.984375
55,0.549684,0.968750,0.992188
56,0.550980,0.992188,0.992188
57,0.555380,0.953125,0.976562
