step,mean_reward,valid_rate,triazole_rate
1,0.756363,0.984375,1.000000
2,0.756371,0.945312,0.960938
3,0.755648,0.960938,0.976562
4,0.755832,0.953125,0.968750
5,0.756355,0.984375,0.984375
6,0.755677,0.968750,0.976562
7,0.754991,0.984375,0.984375
8,0.755720,0.976562,1.000000
9,0.756397,0.976562,0.992188
10,0.755640,0.976562,1.000000
11,0.755909,1.000000,1.000000
12,0.756333,0.968750,0.976562
13,0.755718,0.992188,1.000000
14,0.753871,0.929688,0.945312
15,0.756463,0.960938,0.984375
16,0.756468,0.976562,0.992188
17,0.755646,0.960938,0.976562
18,0.756493,0.968750,0.992188
19,0.756476,0.953125,0.960938
20,0.756559,0.960938,0.992188
21,0.755516,0.953125,0.976562
22,0.756583,0.984375,0.992188
23,0.755154,0.929688,0.968750
24,0.755969,0.953125,0.968750
25,0.756611,0.976562,0.992188
26,0.755995,0.976562,1.000000
27,0.756038,0.960938,0.976562
28,0.756648,0.960938,0.976562
29,0.755917,0.945312,0.960938
30,0.756672,0.968750,0.984375
31,0.755797,0.968750,0.976562
32,0.756409,0.984375,0.992188
33,0.756715,0.921875,0.945312
34,0.756660,0.968750,0.984375
35,0.755802,0.992188,0.992188
36,0.756755,0.960938,0.968750
37,0.756751,0.945312,0.968750
38,0.755657,0.984375,0.984375
39,0.755430,0.976562,0.992188
40,0.756742,0.960938,0.976562
41,0.755515,0.953125,0.976562
42,0.756740,0.921875,0.960938
43,0.755914,0.953125,0.968750
44,0.755750,0.953125,0.984375
45,0.755739,0.968750,0.976562
46,0.754204,0.968750,0.992188
47,0.756708,0.937500,0.953125
48,0.756101,0.945312,0.968750
49,0.756881,0.992188,0.992188
50,0.756858,0.968750,0.992188
51,0.756139,0.976562,0.984375
52,0.756863,0.968750,0.984375
53,0.756844,0.976562,0.976562
54,0.756785,0.976562,0.984375
55,0.756915,0.968750,0.984375
56,0.756926,0.976562,0.984375
57,0.756936,0.976562,0.992188
58,0.755764,0.976562,0.992188
59,0.756250,0.968750,0.968750
60,0.756284,0.992188,1.000000
61,0.756972,0.984375,0.992188
62,0.754799,0.960938,0.968750
63,0.756888,0.960938,0.984375
64,0.756999,0.976562,0.984375
65,0.757016,0.984375,0.984375
66,0.756963,0.953125,0.960938
67,0.756993,0.984375,0.984375
68,0.756356,0.960938,0.976562
69,0.757042,0.976562,0.976562
70,0.757065,0.976562,0.984375
71,0.756996,0.953125,0.960938
72,0.756976,0.953125,0.976562
73,0.754518,0.976562,0.992188
74,0.756379,0.968750,0.992188
75,0.756246,0.937500,0.960938
76,0.757008,0.984375,0.992188
77,0.756383,0.960938,0.984375
78,0.757126,0.960938,0.976562
79,0.756915,0.968750,0.968750
80,0.756094,0.953125,0.960938
81,0.757117,0.984375,0.984375
82,0.756383,0.984375,0.984375
83,0.756466,0.984375,0.984375
84,0.757272,0.984375,0.984375
85,0.757098,0.960938,0.992188
86,0.757231,0.984375,0.992188
87,0.757247,0.960938,0.992188
88,0.757304,0.976562,0.984375
89,0.757178,0.984375,0.984375
90,0.756371,0.960938,0.984375
91,0.756335,0.968750,0.976562
92,0.755425,0.992188,0.992188
93,0.756398,0.976562,0.984375
94,0.757328,0.968750,0.984375
95,0.757355,0.968750,0.968750
96,0.757392,0.976562,0.984375
97,0.756655,0.992188,1.000000
98,0.757115,0.976562,0.992188
99,0.757346,0.976562,0.984375
100,0.756601,0.984375,1.000000
101,0.757338,0.984375,0.984375
102,0.757351,0.960938,0.984375
103,0.756690,1.000000,1.000000
104,0.757334,0.968750,0.984375
105,0.757338,0.960938,0.976562
106,0.757387,0.984375,0.984375
107,0.757429,0.953125,0.968750
108,0.757323,0.984375,0.984375
